	amir_1_mix_1	amir_1_mix_5	amir_1_mix_8	amir_1_mix_11	amir_1_mix_14	amir_1_mix_17	amir_1_mix_21
WBGene00004978	4.05254992897335	0	3.81492947729036	2.4462416201114	1.94561566915433	1.13576601289026	6.27265590482834
WBGene00004979	164.803697111583	126.848503398592	132.250888546066	177.352517458076	129.05917272057	190.808690165564	113.8038999876
WBGene00004980	5520.92385323802	4982.01060258176	5002.64418788675	4545.11693016697	5662.39013579548	5555.03156904627	6446.49808276215
WBGene00004981	174.259646945854	157.491681185892	130.979245386969	151.666980446907	180.293718674968	145.378049649954	210.582019662094
WBGene00004984	6082.87744338899	7606.6344116661	7104.67032987374	4981.77105935686	6934.82278342241	5773.09864352121	8677.77139747966
WBGene00004985	72.9458987215202	62.7116196577306	69.9403737503232	68.4947653631191	57.7199315182451	52.2452365929521	78.8562456606991
WBGene00004986	139.137547561418	143.951672396154	143.695676977937	192.029967178745	149.163867968498	81.7751529280989	129.037492899326
WBGene00004987	270.16999526489	297.167561332655	345.886939274326	281.31778631281	259.41542255391	218.06707447493	143.374992110362
WBGene00004988	620.040139132922	674.86254336217	733.738102798845	550.404364525064	578.49639229522	520.18083390374	451.631225147641
WBGene00004989	36.4729493607601	44.1831865770375	39.4209379320003	31.8011410614481	33.7240049320083	24.9868522835858	67.2070275517322
WBGene00004990	1762.85921910341	1824.33802640671	1967.23196712273	1909.29158449694	1525.36268461699	1158.48133314807	1328.01086442223
WBGene00004991	2.7016999526489	2.85052816626048	2.54328631819357	1.2231208100557	5.18830845107821	2.27153202578053	0
WBGene00004993	166.154547087907	182.433802640671	273.403279205809	397.514263268102	295.085043155073	109.033537237465	319.905451146245
WBGene00004994	58.0865489819513	23.516857371649	33.0627221365164	156.559463687129	92.741013563023	17.0364901933539	84.2328078648377
WBGene00004995	321.502294365219	381.970774278905	400.567595115487	278.871544692699	233.473880298519	220.338606500711	204.309363757266
WBGene00004997	48.6305991476802	20.6663292053885	35.60600845471	242.177920391028	66.1509327512471	19.3080222191345	50.1812472386267
WBGene00004998	2.7016999526489	0.712632041565121	2.54328631819357	1.2231208100557	3.89123133830866	3.40729803867079	0
WBGene00004999	1444.05862469084	1302.69137198104	1648.04953418943	1713.59225488803	1451.42928918913	1195.96161157345	1257.21946206774
WBGene00005000	182.364746803801	178.870642432845	245.42712970568	74.6103694133975	55.125777292706	84.0466849538794	35.8437480275905
WBGene00005001	48.6305991476802	62.7116196577306	58.4955853184521	92.957181564233	67.4480098640167	35.2087463995981	51.9734346400062
WBGene00005002	274.222545193863	254.409638838748	338.257080319745	327.796377094927	247.741728538984	256.683118913199	278.685140914516
WBGene00005003	21.6135996211912	24.2294894132141	13.9880747500646	24.4624162011139	16.8620024660042	28.3941503222566	20.6101551158645
WBGene00005005	16.2101997158934	7.83895245721633	8.9015021136775	69.7178861731748	16.8620024660042	14.7649581675734	25.9867173200031
WBGene00005006	74.2967486978447	71.9758361980772	87.7433779776782	69.7178861731748	101.172014796025	103.354707173014	117.388274790359
WBGene00005007	3762.11718406359	3488.33384346127	3606.37999919848	2970.96044762529	3429.4718861627	2633.84138389252	4124.71930427498
WBGene00005008	752.423436812718	663.460430697128	782.060542844523	539.396277234563	620.002859903846	766.642058700927	506.292940889716
WBGene00005009	472.797491713557	607.162499413483	509.928906797811	588.321109636791	590.818624866531	653.065457411901	616.512466074557
WBGene00005010	2351.82980878086	2324.60571958542	2124.91571885073	1757.62460405004	2292.58379682018	2491.87063228124	2983.99202329691
WBGene00005011	24.3152995738401	14.2526408313024	6.35821579548393	9.78496648044558	11.673694014926	15.9007241804637	12.5453118096567
WBGene00005014	593.023139606433	539.462455464797	590.042425820908	497.810169692669	451.382835243804	477.02172541391	677.446837721461
WBGene00005015	322.853144341543	323.534946870565	236.525627592002	271.532819832365	313.244122733847	329.372143738176	298.399202329691
WBGene00005017	2.7016999526489	3.5631602078256	2.54328631819357	15.9005705307241	7.78246267661731	18.1722562062442	6.27265590482834
WBGene00005018	380.939693323495	391.947622860817	319.182432933293	821.937184357429	774.355036323422	1030.13977369147	331.554669255212
WBGene00005019	349.870143868032	399.786575318033	347.158582433422	351.035672485985	413.767598973487	270.312311067882	504.500753488336
WBGene00005020	195.873246567045	179.58327447441	197.104689660002	177.352517458076	215.96333927613	180.586796049552	241.049205485546
WBGene00005021	1263.04472786336	1172.99234041619	1204.24607166466	1179.08846089369	1481.91060133921	1060.80545603951	1981.26317222507
WBGene00005022	233.69704590413	185.996962848497	219.994266523744	161.451946927352	232.825341742135	154.464177753076	319.009357445556
WBGene00005023	2368.04000849676	2388.02997128472	2306.76069060157	1910.514705307	2542.27114102832	2182.94227677508	2890.79827842518
WBGene00005025	2676.03380309873	2623.19854500121	2480.97580339783	2177.15504189914	2606.47645811041	2144.32623233682	3726.85370116872
WBGene00005026	82.4018485557914	64.1368837408609	66.1254442730328	74.6103694133975	79.1217038789427	67.0101947605255	79.7523393613889
WBGene00005040	4.05254992897335	4.98842429095585	2.54328631819357	19.5699329608912	7.78246267661731	6.81459607734158	5.37656220413858
WBGene00005059	89.1560984374136	99.0558537775518	62.3105147957425	51.3710740223393	46.6947760597039	141.970751611283	34.051560626211
WBGene00005077	2276.1822101067	3090.68516426793	2305.48904744247	2389.97806284883	2849.02987819832	3025.68065833966	2355.83033911339
WBGene00005078	0	4.27579224939073	2.54328631819357	2.4462416201114	3.24269278192388	1.13576601289026	4.48046850344881
WBGene00005089	1.35084997632445	10.6894806234768	7.62985895458071	9.78496648044558	11.0251554585412	19.3080222191345	15.233592911726
WBGene00005110	8.10509985794669	12.1147447066071	12.7164315909679	9.78496648044558	11.0251554585412	29.5299163351468	13.4414055103464
WBGene00005133	14.8593497395689	9.97684858191169	15.2597179091614	13.4543289106127	5.83684700746298	13.6291921546832	3.58437480275905
WBGene00005170	5.40339990529779	6.41368837408609	5.08657263638714	2.4462416201114	3.24269278192388	2.27153202578053	0.896093700689763
WBGene00005178	5.40339990529779	2.13789612469536	2.54328631819357	0	0	3.40729803867079	0.896093700689763
WBGene00005188	2.7016999526489	1.42526408313024	0	3.66936243016709	5.83684700746298	2.27153202578053	0
WBGene00005191	14.8593497395689	9.97684858191169	8.9015021136775	1.2231208100557	2.5941542255391	7.95036209023184	3.58437480275905
WBGene00005202	1.35084997632445	3.5631602078256	0	15.9005705307241	1.94561566915433	5.67883006445131	0.896093700689763
WBGene00005228	5.40339990529779	7.12632041565121	1.27164315909679	4.89248324022279	3.89123133830866	1.13576601289026	3.58437480275905
WBGene00005267	0	0	0	6.11560405027849	6.48538556384776	5.67883006445131	0
WBGene00005271	4.05254992897335	1.42526408313024	1.27164315909679	3.66936243016709	9.07953978938686	13.6291921546832	8.96093700689763
WBGene00005296	2.7016999526489	1.42526408313024	3.81492947729036	0	0.648538556384776	5.67883006445131	0
WBGene00005352	5.40339990529779	2.85052816626048	2.54328631819357	8.56184567038988	4.53976989469343	3.40729803867079	2.68828110206929
WBGene00005400	1.35084997632445	7.12632041565121	3.81492947729036	0	4.53976989469343	2.27153202578053	0
WBGene00005408	8.10509985794669	0.712632041565121	1.27164315909679	0	1.94561566915433	2.27153202578053	0
WBGene00005421	4.05254992897335	2.85052816626048	2.54328631819357	1.2231208100557	1.94561566915433	1.13576601289026	8.06484330620787
WBGene00005427	1.35084997632445	2.13789612469536	1.27164315909679	1.2231208100557	7.78246267661731	0	1.79218740137953
WBGene00005444	14.8593497395689	10.6894806234768	40.6925810910971	18.3468121508355	25.941542255391	21.579554244915	12.5453118096567
WBGene00005517	5.40339990529779	7.83895245721633	2.54328631819357	3.66936243016709	9.72807834577164	0	2.68828110206929
WBGene00005528	4.05254992897335	2.85052816626048	0	4.89248324022279	2.5941542255391	2.27153202578053	3.58437480275905
WBGene00005532	2.7016999526489	1.42526408313024	2.54328631819357	6.11560405027849	5.18830845107821	10.2218941160124	4.48046850344881
WBGene00005569	2.7016999526489	4.98842429095585	2.54328631819357	0	1.29707711276955	1.13576601289026	3.58437480275905
WBGene00005640	4.05254992897335	1.42526408313024	2.54328631819357	0	3.24269278192388	4.54306405156105	1.79218740137953
WBGene00005641	2.7016999526489	6.41368837408609	7.62985895458071	6.11560405027849	1.94561566915433	2.27153202578053	1.79218740137953
WBGene00005642	110.769698058605	88.366373154075	87.7433779776782	37.9167451117266	31.1298507064692	30.6656823480371	35.8437480275905
WBGene00005643	44.5780492187068	54.8726672005143	69.9403737503232	36.6936243016709	51.8830845107821	48.8379385542813	19.7140614151748
WBGene00005647	418.763492660579	448.245554144461	460.334823593036	555.296847765287	393.014365169174	439.541446988532	253.594517295203
WBGene00005648	2907.02914905021	2489.22372118697	2803.97316580841	2721.44380237393	2505.30444331439	2664.50706624056	3454.44121615904
WBGene00005652	4.05254992897335	1.42526408313024	11.4447884318711	4.89248324022279	5.18830845107821	2.27153202578053	8.06484330620787
WBGene00005653	1.35084997632445	7.83895245721633	3.81492947729036	3.66936243016709	1.94561566915433	3.40729803867079	3.58437480275905
WBGene00005655	27.016999526489	21.3789612469536	26.7045063410325	19.5699329608912	10.3766169021564	22.7153202578053	16.1296866124157
WBGene00005657	28.3678495028134	17.815801039128	21.6179337046453	22.0161745810026	16.2134639096194	19.3080222191345	15.233592911726
WBGene00005662	140.488397537743	148.94009668711	129.707602227872	159.005705307241	175.105410223889	177.179498010881	230.296081077269
WBGene00005663	293.134444862405	241.582262090576	236.525627592002	314.342048184314	297.679197380612	269.176545054992	389.800759800047
WBGene00005683	5.40339990529779	2.85052816626048	1.27164315909679	2.4462416201114	2.5941542255391	2.27153202578053	2.68828110206929
WBGene00005712	82.4018485557914	73.4011002812075	108.089668523227	77.0566110335089	67.4480098640167	72.6890248249768	56.4539031434551
WBGene00005713	2.7016999526489	4.27579224939073	1.27164315909679	2.4462416201114	2.5941542255391	2.27153202578053	0
WBGene00005717	0	0.712632041565121	1.27164315909679	4.89248324022279	4.53976989469343	3.40729803867079	0
WBGene00005718	5.40339990529779	0.712632041565121	5.08657263638714	4.89248324022279	5.18830845107821	4.54306405156105	6.27265590482834
WBGene00005726	25.6661495501645	7.83895245721633	6.35821579548393	12.231208100557	5.18830845107821	6.81459607734158	8.06484330620787
