	amir_1_mix_1	amir_1_mix_5	amir_1_mix_7	amir_1_mix_8	amir_1_mix_10
WBGene00004732	1130.30464338154	1414.74163451055	1287.76167059197	1341.25192991827	1272.43843212074
WBGene00004735	16.3812267156745	23.9223573707748	11.8044819804264	27.2515851485161	22.0018172700993
WBGene00004736	5138.6648112708	6118.80740750263	6025.65148364495	6099.61566715482	5463.78462207467
WBGene00004737	372.98793137228	380.099678224534	388.474770628579	381.522192079225	419.868012904395
WBGene00004738	2483.6459889688	2368.97788963368	2562.64572447803	2150.50552367638	2478.87141243119
WBGene00004739	233.117457107675	228.591414876293	216.773214549649	232.230899526485	210.850748838452
WBGene00004740	12.6009436274419	5.98058934269371	18.2432903333863	8.29396069737446	6.41719670377897
WBGene00004743	2622.25636887066	2271.29493036968	2311.53219871259	2311.64533151108	2336.7763425618
WBGene00004744	40.3230196078141	64.4574629156989	24.6820986863462	41.4698034868723	56.8380279477566
WBGene00004745	86.9465110293491	101.005508898827	89.0701822159449	82.9396069737446	77.0063604453476
WBGene00004746	90.7267941175816	110.308647876351	120.191089255251	107.821489065868	80.6733299903642
WBGene00004747	30.2422647058605	18.6062779550471	38.6328501177592	15.4030698665526	18.3348477250828
WBGene00004749	244.458306372373	330.261433702086	307.989666216581	268.961296900572	231.935823722297
WBGene00004750	109.628209558744	96.3539394100654	122.337358706238	113.74574670685	82.5068147628725
WBGene00004751	487.656518382001	643.245609303057	568.761404511455	450.243580714614	385.948544612992
WBGene00004752	282.261137254698	256.500831808864	223.212022902609	238.155157167467	274.105973489987
WBGene00004753	34.0225477940931	23.9223573707748	35.4134459412793	21.3273275075343	21.0850748838452
WBGene00004754	3126.29411396833	2918.52759923453	3698.02226404995	3273.74477240652	3372.69523902898
WBGene00004755	1190.78917279326	1227.34983510614	1160.05863825827	1123.23924873014	1284.35608314205
WBGene00004756	1068.56001960707	1121.69275671855	803.777909394491	1178.92727055537	1211.01669224172
WBGene00004758	216.736230392001	193.372388747097	185.652307510343	165.879213947489	184.265219637082
WBGene00004759	1054.69898161689	1133.65393540394	1215.86164398392	1157.59994304784	1243.10267576061
WBGene00004760	710.693220587723	833.295448415324	809.143583021957	721.574580671578	976.330641360658
WBGene00004762	769.9176556367	978.823122420871	848.84956786521	863.756764055141	993.748746699486
WBGene00004764	10.0807549019535	11.9611786853874	10.7313472549331	14.2182183383562	8.25068147628725
WBGene00004765	23.9417928921396	13.2901985393194	16.0970208823997	16.5879213947489	28.4190139738783
WBGene00004766	863.16463847977	833.295448415324	862.800319296623	818.732405983679	790.231936951067
WBGene00004767	357.86679901935	429.937922746981	324.08668709898	404.034371114956	450.120511650782
WBGene00004768	1221.03143749912	1274.53003992073	1469.12143920034	1393.38539715891	1485.1226657317
WBGene00004769	412.05085661735	352.854771218929	405.644926236472	376.78278596644	365.780212115401
WBGene00004771	69.3051899509304	101.670018825793	90.1433169414382	107.821489065868	76.0896180590935
WBGene00004773	74.3455674019072	65.7864827696308	80.4851044119984	45.0243580714614	84.3402995353808
WBGene00004774	350.306232842885	376.112618662738	349.84192051082	374.413082910047	360.279757797876
WBGene00004775	444.813310048699	487.75028639302	539.786766923136	375.597934438244	445.536799719511
WBGene00004777	1.26009436274419	3.98705956179581	0	2.3697030563927	2.75022715876242
WBGene00004778	104.587832107768	114.295707438146	111.606011451304	130.333668101599	118.259767826784
WBGene00004779	51.6638688725118	42.5286353258219	38.6328501177592	21.3273275075343	33.9194682914031
WBGene00004780	8.82066053920932	5.98058934269371	7.51194307845319	2.3697030563927	13.7511357938121
WBGene00004781	1028.23699999926	916.35918928607	943.285423708621	843.614288075803	850.736934443841
WBGene00004782	176.413210784187	207.327097213382	184.57917278485	177.727729229453	147.595524186916
WBGene00004783	1461.70946078326	1671.24246631941	1636.5304563773	1736.99234033585	1641.88561378116
WBGene00004786	892.146808822886	1165.55041189831	1139.6690784739	1127.97865484293	844.319737740062
WBGene00004787	3.78028308823257	17.2772581011152	7.51194307845319	9.47881222557082	14.6678781800662
WBGene00004788	1178.18822916582	1262.56886123534	1376.83185280792	1285.56390809304	1149.59495236269
WBGene00004789	12.6009436274419	9.96764890448952	12.8776167059197	15.4030698665526	19.2515901113369
WBGene00004790	2.52018872548838	3.98705956179581	6.43880835295987	2.3697030563927	0.916742386254139
WBGene00004793	2.52018872548838	1.32901985393194	1.07313472549331	8.29396069737446	4.58371193127069
WBGene00004795	157.511795343024	174.101600865084	112.679146176798	157.585253250115	211.767491224706
WBGene00004796	60.4845294117211	39.2060856909921	75.1194307845319	63.981982522603	45.8371193127069
WBGene00004798	76688.0828222486	73287.4708252227	66879.9023621942	72421.6799579456	69940.1101321007
WBGene00004800	141.130568627349	103.663548606691	114.825415627784	112.560895178653	126.510449303071
WBGene00004801	27.7220759803722	31.8964764943665	20.3895597843729	22.5121790357307	28.4190139738783
WBGene00004802	1.26009436274419	2.65803970786387	4.29253890197325	4.73940611278541	3.66696954501655
WBGene00004803	37.8028308823257	39.8705956179581	41.8522542942392	40.284951958676	34.8362106776573
WBGene00004804	2681.48080391963	2671.99441633016	2484.30688951702	2395.76979001302	2870.32041136171
WBGene00004806	185.233871323396	194.701408601029	207.115002020209	187.206541455024	162.263402366983
WBGene00004807	2649.97844485103	2528.46027210551	2857.75777398869	2612.59761967296	2634.71761809439
WBGene00004808	4288.10111641848	4433.61023271694	4164.83586963954	4149.35005174363	4076.75339167215
WBGene00004809	120.969058823442	97.6829592639973	114.825415627784	99.5275283684936	105.425374419226
WBGene00004810	74.3455674019072	88.3798202864737	77.2657002355185	75.8304978045665	107.258859191734
WBGene00004811	49.1436801470234	34.5545162022303	34.340311215786	81.7547554455483	43.0868921539445
WBGene00004813	1667.10484191056	1911.79505988109	1719.16183024029	1661.16184253129	1260.52078109944
WBGene00004814	248.238589460605	271.120050202115	251.113525765435	257.112781618608	145.762039414408
WBGene00004815	277.220759803722	340.229082606576	309.062800942074	306.876545802855	209.017264065944
WBGene00004816	337.705289215443	411.9961547189	315.501609295034	300.952288161873	223.68514224601
WBGene00004818	236.897740195908	303.016526696481	208.188136745703	202.609611321576	134.761130779358
WBGene00004819	99.5474546567909	122.269826561738	92.2895863924249	95.9729737839045	88.0072690803973
WBGene00004820	156.251700980279	233.242984365055	197.456789490769	176.542877701256	115.509540668021
WBGene00004821	307.463024509582	320.958294724563	316.574744020527	250.00367244943	217.267945542231
WBGene00004822	519.158877450606	367.47398961218	434.619563824791	412.32833181233	377.697863136705
WBGene00004823	39.0629252450699	54.4898140112094	64.3880835295987	52.1334672406395	75.1728756728394
WBGene00004824	30.2422647058605	52.4962842303115	37.5597153922659	40.284951958676	44.9203769264528
