"","N2.up","N2.dn","AM.up","AM.dn","INTERSECT.up","INTERSECT.dn","INTERSECT.reg","N2.only.up","AM.only.up","N2.only.dn","AM.only.dn","UNION.up","UNION.dn","UNION.reg"
"88","WBGene00004417","WBGene00004354","WBGene00004496","WBGene00017135","WBGene00010742","WBGene00006698","WBGene00010742","WBGene00004898","WBGene00007142","WBGene00015587","WBGene00020543","WBGene00004496","WBGene00017135","WBGene00004496"
"89","WBGene00004444","WBGene00001477","WBGene00044623","WBGene00020911","WBGene00012212","WBGene00000122","WBGene00012212","WBGene00015517","WBGene00021492","WBGene00015538","WBGene00022816","WBGene00044623","WBGene00020911","WBGene00044623"
"90","WBGene00004476","WBGene00003587","WBGene00004478","WBGene00001910","WBGene00019261","WBGene00007417","WBGene00019261","WBGene00017964","WBGene00010747","WBGene00004750","WBGene00000708","WBGene00004478","WBGene00001910","WBGene00004478"
"91","WBGene00004495","WBGene00016638","WBGene00018601","WBGene00000733","WBGene00004418","WBGene00002125","WBGene00004418","WBGene00001072","WBGene00013215","WBGene00000715","WBGene00019414","WBGene00018601","WBGene00000733","WBGene00018601"
"92","WBGene00004426","WBGene00003955","WBGene00001478","WBGene00008904","WBGene00004419","WBGene00019862","WBGene00004419","WBGene00003408","WBGene00185005","WBGene00000703","WBGene00004746","WBGene00001478","WBGene00008904","WBGene00001478"
"93","WBGene00004450","WBGene00004259","WBGene00013867","WBGene00007850","WBGene00004441","WBGene00001971","WBGene00004441","WBGene00011105","WBGene00022798","WBGene00044500","WBGene00001390","WBGene00013867","WBGene00007850","WBGene00013867"
"94","WBGene00004479","WBGene00044694","WBGene00004480","WBGene00044694","WBGene00004493","WBGene00004888","WBGene00004493","WBGene00020363","WBGene00001564","WBGene00004319","WBGene00012317","WBGene00004480","WBGene00044694","WBGene00004480"
"95","WBGene00019327","WBGene00018786","WBGene00004488","WBGene00003844","WBGene00012179","WBGene00006552","WBGene00012179","WBGene00017591","WBGene00020527","WBGene00008686","WBGene00004106","WBGene00004488","WBGene00003844","WBGene00004488"
"96","WBGene00021350","WBGene00004819","WBGene00004499","WBGene00001976","WBGene00004425","WBGene00001051","WBGene00004425","WBGene00009842","WBGene00012544","WBGene00000064","WBGene00006852","WBGene00004499","WBGene00001976","WBGene00004499"
"97","WBGene00009620","WBGene00018164","WBGene00008378","WBGene00020379","WBGene00011831","WBGene00017598","WBGene00011831","WBGene00020760","WBGene00010242","WBGene00011011","WBGene00001025","WBGene00008378","WBGene00020379","WBGene00008378"
"98","WBGene00000220","WBGene00019971","WBGene00045414","WBGene00000995","WBGene00008296","WBGene00017098","WBGene00008296","WBGene00020158","WBGene00011000","WBGene00000712","WBGene00001958","WBGene00045414","WBGene00000995","WBGene00045414"
"99","WBGene00001076","WBGene00001898","WBGene00004131","WBGene00008782","WBGene00086560","WBGene00004786","WBGene00086560","WBGene00044644","WBGene00006460","WBGene00001511","WBGene00002980","WBGene00004131","WBGene00008782","WBGene00004131"
"100","WBGene00004482","WBGene00006698","WBGene00012548","WBGene00001971","WBGene00010597","WBGene00010000","WBGene00010597","WBGene00015122","WBGene00012213","WBGene00007969","WBGene00006745","WBGene00012548","WBGene00001971","WBGene00012548"
"101","WBGene00010901","WBGene00000122","WBGene00013394","WBGene00009202","WBGene00001699","WBGene00011434","WBGene00001699","WBGene00003773","WBGene00004178","WBGene00004317","WBGene00013007","WBGene00013394","WBGene00009202","WBGene00013394"
"102","WBGene00010742","WBGene00011522","WBGene00044921","WBGene00000938","WBGene00004439","WBGene00007225","WBGene00004439","WBGene00003517","WBGene00000740","WBGene00006352","WBGene00013796","WBGene00044921","WBGene00000938","WBGene00044921"
"103","WBGene00012212","WBGene00007417","WBGene00004477","WBGene00016943","WBGene00009957","WBGene00006384","WBGene00009957","WBGene00020931","WBGene00017062","WBGene00012301","WBGene00002175","WBGene00004477","WBGene00016943","WBGene00004477"
"104","WBGene00019261","WBGene00002125","WBGene00004475","WBGene00015518","WBGene00022645","WBGene00000444","WBGene00022645","WBGene00012140","WBGene00011320","WBGene00013241","WBGene00021469","WBGene00004475","WBGene00015518","WBGene00004475"
"105","WBGene00004418","WBGene00019862","WBGene00044294","WBGene00019703","WBGene00004484","WBGene00018238","WBGene00004484","WBGene00044445","WBGene00006440","WBGene00021153","WBGene00017780","WBGene00044294","WBGene00019703","WBGene00044294"
"106","WBGene00004419","WBGene00001971","WBGene00001702","WBGene00000437","WBGene00016892","WBGene00017423","WBGene00016892","WBGene00006470","WBGene00077764","WBGene00022127","WBGene00008444","WBGene00001702","WBGene00000437","WBGene00001702"
"107","WBGene00004441","WBGene00004888","WBGene00003097","WBGene00013816","WBGene00004416","WBGene00001949","WBGene00004416","WBGene00017727","WBGene00010012","WBGene00008959","WBGene00006796","WBGene00003097","WBGene00013816","WBGene00003097"
"108","WBGene00004493","WBGene00006552","WBGene00012101","WBGene00015138","WBGene00004499","WBGene00012021","WBGene00004499","WBGene00001064","WBGene00018990","WBGene00019427","WBGene00000040","WBGene00012101","WBGene00015138","WBGene00012101"
"109","WBGene00012179","WBGene00001051","WBGene00015340","WBGene00007867","WBGene00019592","WBGene00015329","WBGene00019592","WBGene00006743","WBGene00008664","WBGene00022141","WBGene00021474","WBGene00015340","WBGene00007867","WBGene00015340"
"110","WBGene00004425","WBGene00007256","WBGene00010964","WBGene00020354","WBGene00004443","WBGene00007642","WBGene00004443","WBGene00004809","WBGene00011446","WBGene00009820","WBGene00004769","WBGene00010964","WBGene00020354","WBGene00010964"
"111","WBGene00011831","WBGene00017598","WBGene00044292","WBGene00000482","WBGene00004492","WBGene00014159","WBGene00004492","WBGene00012382","WBGene00010809","WBGene00003136","WBGene00019017","WBGene00044292","WBGene00000482","WBGene00044292"
"112","WBGene00008296","WBGene00017098","WBGene00003369","WBGene00008670","WBGene00018969","WBGene00013086","WBGene00018969","WBGene00010047","WBGene00000691","WBGene00000896","WBGene00020334","WBGene00003369","WBGene00008670","WBGene00003369"
"113","WBGene00086560","WBGene00004786","WBGene00018532","WBGene00014097","WBGene00004498","WBGene00006331","WBGene00004498","WBGene00000022","WBGene00000405","WBGene00017648","WBGene00019956","WBGene00018532","WBGene00014097","WBGene00018532"
"114","WBGene00010597","WBGene00010000","WBGene00004484","WBGene00018714","WBGene00007913","WBGene00015565","WBGene00007913","WBGene00007453","WBGene00003928","WBGene00011267","WBGene00007053","WBGene00004484","WBGene00018714","WBGene00004484"
"115","WBGene00001699","WBGene00011434","WBGene00021350","WBGene00007642","WBGene00045457","WBGene00021779","WBGene00045457","WBGene00012097","WBGene00008183","WBGene00014017","WBGene00015022","WBGene00021350","WBGene00007642","WBGene00021350"
